female	male	year	age
4.2664470797	4.5159991087	1999	15~20
4.3300029101	4.5362051643	1999	20~25
3.9871155616	4.1426487776	1999	25~30
4.1967307562	4.3567315746	1999	30~35
4.3375937602	4.4938828928	1999	35~40
4.0569495727	4.1625334555	1999	40~45
3.5144414227	3.582034843	1999	45~50
2.1941449785	2.2170714283	1999	50~55
1.9425424695	1.9086801259	1999	55~60
1.7388252342	1.6445665197	1999	60~65
1.433154326	1.5698258409	1999	65~70
1.1100339678	1.451518118	1999	70~75
0.740064892	0.8641393074	1999	75~80
0.3979153543	0.3970145915	1999	80~85
0.197271576	0.1651066496	1999	85~90
0.0714273202	0.0464866019	1999	90+
3.1986106363	3.4865979981	2000	0~5
3.4717259382	3.7787197298	2000	5~10
3.4454563051	3.7310779635	2000	10~15
4.0872128476	4.3312932919	2000	15~20
4.3900273793	4.5959962063	2000	20~25
3.9217662315	4.063618659	2000	25~30
4.1455698589	4.2961085031	2000	30~35
4.3015491722	4.445058041	2000	35~40
4.0786927239	4.181863431	2000	40~45
3.6588185165	3.723114476	2000	45~50
2.4476591477	2.4731342276	2000	50~55
1.851048487	1.8206220391	2000	55~60
1.7766702315	1.6732346735	2000	60~65
1.4618476225	1.4965924892	2000	65~70
1.1490226188	1.4663680464	2000	70~75
0.7729520819	0.9246488883	2000	75~80
0.4210727707	0.4260959626	2000	80~85
0.2044964347	0.1737692237	2000	85~90
0.0768786289	0.0510085169	2000	90+
3.0473853642	3.320491585	2001	0~5
3.464946749	3.7607750002	2001	5~10
3.4526864037	3.7605250623	2001	10~15
3.8301952443	4.0622491695	2001	15~20
4.3449601456	4.547347338	2001	20~25
4.0108289154	4.151173494	2001	25~30
4.0712781751	4.2101900742	2001	30~35
4.2767137169	4.4122871601	2001	35~40
4.0982134441	4.2004157181	2001	40~45
3.7146971681	3.7784625679	2001	45~50
2.7810720978	2.80024144	2001	50~55
1.8019270924	1.7718943791	2001	55~60
1.8134063818	1.708195927	2001	60~65
1.4839525604	1.4440115957	2001	65~70
1.1828666874	1.4564192258	2001	70~75
0.8057238272	0.973463382	2001	75~80
0.4589796608	0.468682606	2001	80~85
0.2102557721	0.1834186931	2001	85~90
0.0838050613	0.0558611145	2001	90+
2.8685601242	3.1295857656	2002	0~5
3.4554537552	3.7440228525	2002	5~10
3.4522922301	3.770749285	2002	10~15
3.6166426947	3.848135606	2002	15~20
4.345791637	4.5565259385	2002	20~25
4.051281359	4.1907570148	2002	25~30
4.0449583087	4.1579251088	2002	30~35
4.1840876176	4.3136568651	2002	35~40
4.1560424028	4.2630813432	2002	40~45
3.7616909826	3.814220256	2002	45~50
3.0193320159	3.0360987561	2002	50~55
1.8390130074	1.8107102526	2002	55~60
1.8268553446	1.7228580401	2002	60~65
1.5246499499	1.4304080819	2002	65~70
1.2132175197	1.4229038999	2002	70~75
0.8382926059	1.0230286914	2002	75~80
0.4894014309	0.5068475438	2002	80~85
0.2202099963	0.1902376721	2002	85~90
0.0930562961	0.0674177479	2002	90+
2.7681550838	3.0267092245	2003	0~5
3.3126029937	3.5932898465	2003	5~10
3.4060709017	3.719357386	2003	10~15
3.5209194609	3.7610127165	2003	15~20
4.2681362823	4.4789124314	2003	20~25
4.1334288893	4.2782891055	2003	25~30
3.97769918	4.0783293629	2003	30~35
4.1218338786	4.2474767248	2003	35~40
4.1921869712	4.2984177964	2003	40~45
3.8338697298	3.8837225249	2003	45~50
3.2179273642	3.2251781168	2003	50~55
1.9298459823	1.9015198268	2003	55~60
1.844296834	1.7449097637	2003	60~65
1.5618404259	1.4339679401	2003	65~70
1.2393124393	1.3706665251	2003	70~75
0.8822471582	1.0813044277	2003	75~80
0.5171480963	0.5413998509	2003	80~85
0.2301173879	0.2005038809	2003	85~90
0.1010150611	0.0763784282	2003	90+
2.6167738002	2.8657609581	2004	0~5
3.2137867653	3.4899323121	2004	5~10
3.4172675346	3.7320968171	2004	10~15
3.3883373715	3.6311718012	2004	15~20
4.1424873118	4.3553690619	2004	20~25
4.2392649658	4.3930699478	2004	25~30
3.9185077325	4.0013095262	2004	30~35
4.0833135808	4.1925553576	2004	35~40
4.1924980614	4.2980728827	2004	40~45
3.9086704192	3.9528678104	2004	45~50
3.3787600948	3.3751680651	2004	50~55
2.0970401587	2.0632486352	2004	55~60
1.8323274034	1.7423415503	2004	60~65
1.6056196445	1.4548425453	2004	65~70
1.2737557672	1.318446787	2004	70~75
0.925597738	1.1230359641	2004	75~80
0.5478131767	0.5798108891	2004	80~85
0.2417942836	0.2153014118	2004	85~90
0.1080209274	0.0839609395	2004	90+
2.3990329895	2.6265961359	2005	0~5
3.1600566402	3.4403417808	2005	5~10
3.390658822	3.687649874	2005	10~15
3.3581516833	3.6257185485	2005	15~20
3.9890984706	4.1992574302	2005	20~25
4.3218508885	4.4724719826	2005	25~30
3.88038708	3.9435700313	2005	30~35
4.0603445274	4.1530702404	2005	35~40
4.1817566266	4.2724533883	2005	40~45
3.9526563958	3.9907321717	2005	45~50
3.536668663	3.5268532813	2005	50~55
2.3534650252	2.3147963739	2005	55~60
1.7566327277	1.670257369	2005	60~65
1.6512677894	1.4899266297	2005	65~70
1.30891079	1.2661886276	2005	70~75
0.9660267902	1.1444735032	2005	75~80
0.5804645447	0.6292120778	2005	80~85
0.2598550933	0.2344317177	2005	85~90
0.1142975944	0.0904156948	2005	90+
2.2785058239	2.4990637783	2006	0~5
3.0078735291	3.2743737719	2006	5~10
3.3882372093	3.6737132345	2006	10~15
3.3707432951	3.6612157081	2006	15~20
3.7484536005	3.9471507192	2006	20~25
4.3026417428	4.4346853873	2006	25~30
3.9881796743	4.0374616304	2006	30~35
4.0100142823	4.0780141146	2006	35~40
4.1756731693	4.2501993419	2006	40~45
3.9889708783	4.0211960496	2006	45~50
3.607606172	3.5899286636	2006	50~55
2.6865572733	2.6327422865	2006	55~60
1.7176908016	1.6318342378	2006	60~65
1.6933689279	1.5291175973	2006	65~70
1.3359545354	1.2285606115	2006	70~75
1.0026128529	1.1458776063	2006	75~80
0.6139393449	0.6728075464	2006	80~85
0.2896025258	0.2648347802	2006	85~90
0.1226278797	0.0979694164	2006	90+
2.1866718703	2.3980850549	2007	0~5
2.8336518811	3.0891579364	2007	5~10
3.3847191176	3.6640422051	2007	10~15
3.3781811941	3.6794919149	2007	15~20
3.549717837	3.7486954643	2007	20~25
4.3339681057	4.4515723249	2007	25~30
4.04648677	4.0846210269	2007	30~35
4.0022109593	4.0358370546	2007	35~40
4.0985331705	4.1643087747	2007	40~45
4.0558341275	4.087974925	2007	45~50
3.6638461981	3.6319318976	2007	50~55
2.9272604838	2.8621774378	2007	55~60
1.7605656502	1.6746231003	2007	60~65
1.7129359414	1.5488954786	2007	65~70
1.3795236245	1.2208581101	2007	70~75
1.0345556042	1.1239827235	2007	75~80
0.6442359123	0.7101770336	2007	80~85
0.3114072608	0.2869063818	2007	85~90
0.1312506642	0.1011047827	2007	90+
2.1257730651	2.3288200637	2008	0~5
2.7375229039	2.9918178258	2008	5~10
3.2480053528	3.519911051	2008	10~15
3.3374092347	3.6337668687	2008	15~20
3.4602375627	3.6687409936	2008	20~25
4.2770572302	4.3810333024	2008	25~30
4.1467279356	4.1732244055	2008	30~35
3.9522974988	3.9635966979	2008	35~40
4.0485121542	4.1058112046	2008	40~45
4.1021909464	4.1273678019	2008	45~50
3.7443757401	3.7040537038	2008	50~55
3.1273908517	3.0462606054	2008	55~60
1.8553389106	1.7651102696	2008	60~65
1.7355318053	1.5744389978	2008	65~70
1.4178736835	1.228044534	2008	70~75
1.0624329151	1.0858300273	2008	75~80
0.6824533943	0.7547804229	2008	80~85
0.332021952	0.3078565115	2008	85~90
0.1387505187	0.1076310571	2008	90+
2.0724555588	2.2621892638	2009	0~5
2.5934252293	2.8388385491	2009	5~10
3.1530371493	3.4211237031	2009	10~15
3.3507034585	3.6490498263	2009	15~20
3.3333503462	3.5435600317	2009	20~25
4.1770610887	4.2609157218	2009	25~30
4.288415993	4.2847394862	2009	30~35
3.9178024766	3.8893419883	2009	35~40
4.0261210188	4.0540408444	2009	40~45
4.112609761	4.1291453912	2009	45~50
3.8222565517	3.7718062272	2009	50~55
3.2882850229	3.1903342299	2009	55~60
2.0193841012	1.9199367537	2009	60~65
1.7284426507	1.5764126048	2009	65~70
1.462990206	1.2512147611	2009	70~75
1.0963559675	1.0491236678	2009	75~80
0.7209240645	0.7903711161	2009	80~85
0.3550424286	0.3328147008	2009	85~90
0.1489461055	0.1174319539	2009	90+
1.9889929779	2.1733759034	2010	0~5
2.3878251575	2.6130290388	2010	5~10
3.1052766623	3.3790771252	2010	10~15
3.3305237175	3.6125099586	2010	15~20
3.3056987047	3.5448693542	2010	20~25
4.0298335347	4.1157885225	2010	25~30
4.3907762687	4.3696901187	2010	30~35
